SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1086.65,1107.80,1086.00,1090.30,1090.30,1077.75,1062,18462,20149453.00,
500003,AEGIS LOGIS ,B ,Q,261.00,279.80,260.00,267.10,267.10,261.65,4220,64959,17676169.00,
500008,AMAR RAJA BA,A ,Q,460.00,473.00,460.00,470.30,470.30,458.00,821,8626,4034606.00,
500009,A.SARABHAI  ,T ,Q,4.46,4.50,4.42,4.42,4.42,4.65,96,16968,75804.00,
500010,HDFC        ,A ,Q,972.00,987.95,947.00,975.90,975.90,977.40,10952,234196,226088908.00,
500012,ANDHRA PETRO,B ,Q,9.24,10.05,9.24,9.93,9.93,9.39,159,56550,554271.00,
500013,ANSAL INFRAS,B ,Q,40.00,41.40,39.05,41.40,41.40,39.45,813,109880,4472603.00,
500014,APPLE FINANC,T ,Q,2.37,2.57,2.36,2.49,2.56,2.45,50,20105,50528.00,
500020,BOM DYEING  ,B ,Q,70.65,71.75,69.70,71.30,71.30,70.05,5785,401164,28408519.00,
500023,ASIANHOTNR  ,B ,Q,155.90,167.95,155.80,166.60,166.60,155.00,100,2216,363762.00,
500024,ASSAMCO     ,B ,Q,5.80,6.17,5.80,6.09,6.09,5.70,834,572824,3461739.00,
500027,ATUL LTD.   ,B ,Q,1007.75,1025.00,995.00,1001.35,1001.35,1008.30,625,3823,3885419.00,
500028,ATV PROJECTS,T ,Q,4.20,4.20,3.82,3.93,3.93,4.00,59,11201,43769.00,
500029,AUTOLITE(I) ,B ,Q,24.15,25.90,24.00,24.65,24.70,25.05,39,2662,65785.00,
500030,AUTORID.FIN ,T ,Q,3.00,3.00,3.00,3.00,3.00,3.15,2,900,2700.00,
500031,BAJAJ ELECT.,B ,Q,331.00,332.75,312.80,329.85,332.00,325.80,1181,13431,4410339.00,
500032,BAJAJHIND.LT,B ,Q,25.95,26.60,25.15,26.25,26.25,25.50,3676,739473,19180803.00,
500033,FORCE MOTR  ,B ,Q,430.00,499.00,430.00,491.20,491.20,425.20,16498,331204,157684950.00,
500034,BAJFINANCE  ,A ,Q,2200.00,2230.00,2175.00,2186.70,2186.70,2184.65,1354,4872,10698493.00,
500038,BALRAM.CHINI,B ,Q,75.85,78.50,74.70,77.95,77.95,75.50,1249,70801,5425813.00,
500039,BANCO PROD. ,B ,Q,128.70,132.55,128.40,131.75,131.75,128.15,1018,31124,4076420.00,
500040,CENTURY TEXT,A ,Q,564.10,573.90,557.25,571.40,571.40,560.05,6653,149220,84714528.00,
500041,BANNARI AMAN,B ,Q,991.20,1008.95,991.20,1000.10,1000.10,996.00,61,798,796919.00,
500042,BASF INDIA  ,B ,Q,875.80,875.80,831.00,845.30,844.95,835.20,389,1448,1227090.00,
500043,BATA INDIA  ,A ,Q,1249.00,1285.00,1247.90,1276.75,1276.75,1249.75,1505,14716,18656127.00,
500046,BEST&CROMPT.,T ,Q,6.25,6.28,6.22,6.22,6.22,6.00,6,545,3416.00,
